"","x"
"0050.TW",1
"0051.TW",1
"0052.TW",2
"0053.TW",1
"0054.TW",1
"0055.TW",1
"0056.TW",1
"0057.TW",1
"0061.TW",2
"006203.TW",1
"006204.TW",1
"006205.TW",2
"006206.TW",2
"006207.TW",2
"006208.TW",1
"00625K.TW",2
"00631L.TW",1
"00632R.TW",3
"00633L.TW",2
"00634R.TW",3
"00635U.TW",3
"00636.TW",2
"00636K.TW",2
"00637L.TW",2
"00638R.TW",3
"00639.TW",2
"00640L.TW",2
"00641R.TW",3
"00642U.TW",1
"00643.TW",2
"00643K.TW",2
"00645.TW",2
"00646.TW",1
"00647L.TW",1
"00648R.TW",3
"00650L.TW",2
"00651R.TW",3
"00652.TW",1
"00653L.TW",1
"00654R.TW",3
"00655L.TW",2
"00656R.TW",3
"00657.TW",2
"00657K.TW",2
"00660.TW",2
"00661.TW",1
"00662.TW",1
"00663L.TW",1
"00664R.TW",3
"00665L.TW",2
"00666R.TW",2
"00668.TW",1
"00668K.TW",1
"00669R.TW",3
"00670L.TW",1
"00671R.TW",3
"00673R.TW",3
"00674R.TW",1
"00675L.TW",1
"00676R.TW",1
"00677U.TW",3
"00678.TW",1
"00680L.TW",3
"00681R.TW",2
"00682U.TW",1
"00683L.TW",1
"00684R.TW",2
"00685L.TW",1
"00686R.TW",3
"00688L.TW",3
"00689R.TW",1
"00690.TW",1
"00692.TW",1
"00693U.TW",2
"00700.TW",2
"00701.TW",1
"00702.TW",1
"00703.TW",2
"00706L.TW",3
"00707R.TW",1
"00708L.TW",3
"00709.TW",1
"00710B.TW",1
"00711B.TW",3
"00712.TW",1
"00713.TW",1
"00714.TW",1
"00715L.TW",1
"00717.TW",1
"00728.TW",1
"00730.TW",1
"00731.TW",1
"00732.TW",2
"00733.TW",1
"00735.TW",1
"00736.TW",2
"00737.TW",1
"00738U.TW",3
"00739.TW",2
"00742.TW",1
"00743.TW",1
"00752.TW",2
"00753L.TW",2
"00757.TW",3
"00763U.TW",2
"008201.TW",2
